song_name,testcase,FAA,FAP,OAA,OASI
Chim Chim Cheree (lyrics),Perception/Chim Chim Cheree (lyrics),0.0003301824099288808,-23.0076063642609,0.004586656619068208,-23.009025112428844
Take me out to the ballgame (lyrics),Perception/Take me out to the ballgame (lyrics),-0.0017791525672841146,-23.00207990146803,0.008005520879653005,-23.00190962102144
Jingle Bells (lyrics),Perception/Jingle Bells (lyrics),-0.00012422217738361496,-23.00177361919132,0.01573133539260496,-22.995030558375788
Mary Had a Little Lamb (lyrics),Perception/Mary Had a Little Lamb (lyrics),0.0005111490713112232,-23.00626838655917,0.008270973739712417,-23.004092800368397
Chim Chim Cheree (no lyrics),Perception/Chim Chim Cheree (no lyrics),-0.0008969413296746609,-23.009713577471608,0.0033883506540668407,-23.009655383416806
Take me out to the ballgame (no lyrics),Perception/Take me out to the ballgame (no lyrics),0.00037668497540011003,-23.001235553861935,0.011391083587277251,-22.99642678215107
Jingle Bells (no lyrics),Perception/Jingle Bells (no lyrics),-0.0005502446202605427,-23.008865229668025,0.004152842210576324,-23.007869946627594
Mary Had a Little Lamb (no lyrics),Perception/Mary Had a Little Lamb (no lyrics),-0.0018785534883782873,-23.00789556436989,0.005875258355178659,-23.00678595179283
Emperor Waltz,Perception/Emperor Waltz,0.0006166479287763593,-23.006009207591745,0.005413203358184404,-23.001250817034318
Harry Potter Theme,Perception/Harry Potter Theme,-0.00020093136880205975,-23.012294545620524,0.0038344262848895028,-23.01145223352176
Star Wars Theme,Perception/Star Wars Theme,-0.0019762350899661385,-23.00337412026883,0.007335472013554778,-22.998246163432846
Eine Kleine Nachtmusik,Perception/Eine Kleine Nachtmusik,0.00035045363464902834,-23.00341622187951,0.008606376482148903,-22.993585219491976
