id,song,audio file,length of song+cue (sec),length of cue (sec),length of song (sec),length of cue only (sec),cue bpm,beats per bar,beat length (sec),beat length (samples),bar length (sec),theo cue len (sec),measured bar length,num bars,cue bars,measured bpm,librosa bpm,bmp diff,beat diff (ms),full diff (ms),,1,2 (+2s),3 (+2s),4,
1,Chim Chim Cheree (lyrics),S01_Chim Chim Cheree_lyrics.wav,14.9657,1.65,13.3157,1.9109,210,3,0.2857,146.2857,0.8571,1.7143,0.857,16,2,213,218.75,-8.75,11.43,548.57,,14.9657,16.9657,15.3157,15.3157,;  ...
2,Take me out to the ballgame (lyrics),S02_Take Me Out To The Ballgame_lyrics.wav,9.5352,1.867,7.6682,2.1424,186,3,0.3226,165.1613,0.9677,1.9355,0.968,8,2,189,195.94,-9.94,16.36,392.75,,9.5352,11.5352,9.6682,9.6682,;  ...
3,Jingle Bells (lyrics),S03_Jingle Bells_lyrics.wav,11.9797,2.317,9.6627,2.5916,200,4,0.3000,153.6000,1.2000,2.4000,1.199,8,2,200,198.77,1.23,-1.86,-59.41,,11.9797,13.9797,11.6627,11.6627,;  ...
4,Mary Had a Little Lamb (lyrics),S04_Mary Had A Little Lamb_lyrics.wav,14.6112,2.988,11.6232,3.2348,160,4,0.3750,192.0000,1.5000,3.0000,1.5,8,2,160,158.41,1.59,-3.76,-120.45,,14.6112,16.6112,13.6232,13.6232,;  ...
11,Chim Chim Cheree (no lyrics),S11_Chim Chim Cheree_no lyrics.wav,15.5533,1.669,13.8843,2.0789,210,3,0.2857,146.2857,0.8571,1.7143,0.857,16,2,206,204.67,5.33,-7.44,-357.15,,15.5533,17.5533,15.8843,15.8843,;  ...
12,Take me out to the ballgame (no lyrics),S12_Take Me Out To The Ballgame_no lyrics.wav,9.8123,1.9,7.9123,2.0811,186,3,0.3226,165.1613,0.9677,1.9355,0.968,8,2,185,170.84,15.16,-28.63,-687.00,,9.8123,11.8123,9.9123,9.9123,;  ...
13,Jingle Bells (no lyrics),S13_Jingle Bells_no lyrics.wav,11.3142,2.364,8.9502,2.6502,200,4,0.3000,153.6000,1.2000,2.4000,1.2,8,2,200,201.68,-1.68,2.50,79.97,,11.3142,13.3142,10.9502,10.9502,;  ...
14,Mary Had a Little Lamb (no lyrics),S14_Mary Had A Little Lamb_no lyrics.wav,15.2131,2.975,12.2381,3.2184,160,4,0.3750,192.0000,1.5000,3.0000,1.5,8,2,160,159.01,0.99,-2.33,-74.71,,15.2131,17.2131,14.2381,14.2381,;  ...
21,Emperor Waltz,S21_EmperorWaltz.wav,10.3215,1.995,8.3265,2.1553,178,3,0.3371,172.5843,1.0112,2.0225,1.011,8,2,175,177.44,0.56,-1.06,-25.53,,10.3215,12.3215,10.3265,10.3265,;  ...
22,Harry Potter Theme,S22_Harry Potter Theme.wav,18.0622,2.046,16.0162,2.158,176,3,0.3409,174.5455,1.0227,2.0455,1.022,15,2,166,154.85,21.15,-46.56,-2095.32,,18.0622,20.0622,18.0162,18.0162,;  ...
23,Star Wars Theme,S23_Star Wars Theme.wav,11.5423,2.307,9.2353,2.6502,104,4,0.5769,295.3846,2.3077,2.3077,2.307,4,1,104,103.62,0.38,-2.12,-33.85,,11.5423,13.5423,11.2353,11.2353,;  ...
24,Eine Kleine Nachtmusik,S24_Eine kleine Nachtmusic.wav,10.2359,3.365,6.8709,3.6504,140,4,0.4286,219.4286,1.7143,3.4286,1.714,4,2,140,144.56,-4.56,13.52,216.30,,10.2359,12.2359,8.8709,8.8709,;  ...
,,,,,10.4753,,,,,,,,,,,,,,,,,,,12.4753,12.4753,
,,,,,,,,,,,,,,,,,,,,,,153.1466,177.1466,149.7036,149.7036,629.7004
,,,,,,,,,,,,,,,,,,,,,,,,,,52.47503333
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,
